Game,Double Sixes,Winner,Number of Double Sixes
946,False,House,0
947,False,House,0
948,False,House,0
949,True,Gambler,1
950,True,Gambler,1
951,False,House,0
952,True,Gambler,1
953,True,Gambler,1
954,True,Gambler,1
955,False,House,0
956,True,Gambler,2
957,True,Gambler,1
958,False,House,0
959,True,Gambler,1
960,False,House,0
961,True,Gambler,1
962,True,Gambler,2
963,False,House,0
964,False,House,0
965,True,Gambler,2
966,False,House,0
967,False,House,0
968,True,Gambler,1
969,False,House,0
970,True,Gambler,1
971,False,House,0
972,True,Gambler,1
973,True,Gambler,2
974,True,Gambler,1
975,False,House,0
976,True,Gambler,1
977,False,House,0
978,True,Gambler,2
979,False,House,0
980,True,Gambler,1
981,True,Gambler,2
982,False,House,0
983,False,House,0
984,True,Gambler,1
985,False,House,0
986,False,House,0
987,True,Gambler,1
988,True,Gambler,1
989,True,Gambler,1
990,True,Gambler,2
991,True,Gambler,1
992,True,Gambler,1
993,False,House,0
994,True,Gambler,1
995,False,House,0
996,True,Gambler,2
997,False,House,0
998,False,House,0
999,True,Gambler,2
1000,True,Gambler,1
1001,True,Gambler,1
1002,False,House,0
1003,False,House,0
1004,True,Gambler,1
1005,False,House,0
1006,False,House,0
1007,False,House,0
1008,False,House,0
1009,False,House,0
1010,False,House,0
1011,False,House,0
1012,True,Gambler,1
1013,False,House,0
1014,False,House,0
1015,False,House,0
1016,False,House,0
1017,False,House,0
1018,False,House,0
1019,True,Gambler,3
1020,True,Gambler,1
1021,True,Gambler,2
1022,True,Gambler,1
1023,True,Gambler,1
1024,False,House,0
1025,True,Gambler,1
1026,False,House,0
1027,True,Gambler,1
1028,True,Gambler,2
1029,True,Gambler,2
1030,True,Gambler,2
1031,False,House,0
1032,True,Gambler,2
1033,True,Gambler,3
1034,False,House,0
1035,False,House,0
1036,True,Gambler,1
1037,False,House,0
1038,False,House,0
1039,False,House,0
1040,True,Gambler,1
1041,False,House,0
1042,False,House,0
1043,True,Gambler,2
1044,True,Gambler,2
1045,False,House,0
1046,True,Gambler,1
1047,False,House,0
1048,True,Gambler,1
1049,False,House,0
1050,False,House,0
1051,True,Gambler,1
1052,True,Gambler,1
1053,False,House,0
1054,True,Gambler,2
1055,False,House,0
1056,False,House,0
1057,False,House,0
1058,False,House,0
1059,True,Gambler,2
1060,True,Gambler,1
1061,False,House,0
1062,False,House,0
1063,False,House,0
1064,False,House,0
1065,False,House,0
1066,False,House,0
1067,True,Gambler,2
1068,False,House,0
1069,False,House,0
1070,True,Gambler,1
1071,True,Gambler,2
1072,False,House,0
1073,False,House,0
1074,True,Gambler,1
1075,False,House,0
1076,False,House,0
1077,True,Gambler,2
1078,False,House,0
1079,False,House,0
1080,True,Gambler,1
1081,False,House,0
1082,False,House,0
1083,False,House,0
1084,False,House,0
1085,True,Gambler,1
1086,True,Gambler,1
1087,True,Gambler,1
1088,False,House,0
1089,True,Gambler,1
1090,True,Gambler,1
1091,True,Gambler,3
1092,False,House,0
1093,False,House,0
1094,False,House,0
1095,True,Gambler,1
1096,False,House,0
1097,False,House,0
1098,True,Gambler,1
1099,False,House,0
1100,True,Gambler,2
1101,False,House,0
1102,False,House,0
1103,True,Gambler,1
1104,True,Gambler,1
1105,True,Gambler,1
1106,False,House,0
1107,False,House,0
1108,False,House,0
1109,True,Gambler,1
1110,False,House,0
1111,True,Gambler,1
1112,False,House,0
1113,False,House,0
1114,False,House,0
1115,True,Gambler,1
1116,False,House,0
1117,True,Gambler,2
1118,True,Gambler,1
1119,True,Gambler,1
1120,False,House,0
1121,True,Gambler,1
1122,False,House,0
1123,False,House,0
1124,True,Gambler,1
1125,True,Gambler,1
1126,True,Gambler,1
1127,True,Gambler,2
1128,True,Gambler,2
1129,True,Gambler,1
1130,False,House,0
1131,True,Gambler,1
1132,False,House,0
1133,False,House,0
1134,True,Gambler,2
1135,False,House,0
1136,False,House,0
1137,True,Gambler,1
1138,True,Gambler,1
1139,True,Gambler,1
1140,True,Gambler,1
1141,True,Gambler,2
1142,True,Gambler,2
1143,False,House,0
1144,False,House,0
1145,True,Gambler,4
1146,True,Gambler,1
1147,False,House,0
1148,True,Gambler,1
1149,True,Gambler,2
1150,False,House,0
1151,False,House,0
1152,False,House,0
1153,True,Gambler,1
1154,False,House,0
1155,False,House,0
1156,False,House,0
1157,False,House,0
1158,True,Gambler,2
1159,True,Gambler,1
1160,True,Gambler,1
1161,False,House,0
1162,True,Gambler,1
1163,True,Gambler,1
1164,True,Gambler,3
1165,False,House,0
1166,True,Gambler,2
1167,True,Gambler,1
1168,False,House,0
1169,True,Gambler,2
1170,True,Gambler,1
1171,False,House,0
1172,True,Gambler,1
1173,False,House,0
1174,False,House,0
1175,True,Gambler,1
1176,False,House,0
1177,True,Gambler,1
1178,False,House,0
1179,True,Gambler,1
1180,False,House,0
1181,True,Gambler,2
1182,False,House,0
1183,False,House,0
1184,False,House,0
1185,False,House,0
1186,True,Gambler,1
1187,False,House,0
1188,True,Gambler,1
1189,True,Gambler,2
1190,False,House,0
1191,True,Gambler,1
1192,False,House,0
1193,True,Gambler,1
1194,True,Gambler,1
1195,False,House,0
1196,False,House,0
1197,True,Gambler,1
1198,True,Gambler,1
1199,False,House,0
1200,False,House,0
1201,False,House,0
1202,True,Gambler,1
1203,False,House,0
1204,False,House,0
1205,True,Gambler,1
1206,False,House,0
1207,True,Gambler,1
1208,True,Gambler,3
1209,True,Gambler,2
1210,False,House,0
1211,True,Gambler,1
1212,True,Gambler,1
1213,False,House,0
1214,False,House,0
1215,True,Gambler,1
1216,False,House,0
1217,True,Gambler,1
1218,False,House,0
1219,False,House,0
1220,True,Gambler,1
1221,True,Gambler,2
1222,True,Gambler,1
1223,False,House,0
1224,False,House,0
1225,False,House,0
1226,True,Gambler,1
1227,True,Gambler,1
1228,False,House,0
1229,True,Gambler,2
1230,True,Gambler,1
1231,True,Gambler,1
1232,False,House,0
1233,True,Gambler,1
1234,True,Gambler,1
1235,False,House,0
1236,True,Gambler,1
1237,True,Gambler,1
1238,True,Gambler,1
1239,True,Gambler,1
1240,True,Gambler,1
1241,True,Gambler,1
1242,True,Gambler,2
1243,False,House,0
1244,True,Gambler,2
1245,True,Gambler,1
1246,True,Gambler,1
1247,True,Gambler,1
1248,True,Gambler,1
1249,True,Gambler,2
1250,True,Gambler,2
1251,False,House,0
1252,False,House,0
1253,True,Gambler,1
1254,True,Gambler,1
1255,False,House,0
1256,True,Gambler,1
1257,False,House,0
1258,False,House,0
1259,True,Gambler,2
1260,True,Gambler,1
1261,True,Gambler,1
1262,True,Gambler,1
1263,False,House,0
1264,False,House,0
1265,True,Gambler,1
1266,False,House,0
1267,False,House,0
1268,True,Gambler,3
1269,True,Gambler,1
1270,True,Gambler,1
1271,False,House,0
1272,False,House,0
1273,False,House,0
1274,False,House,0
1275,False,House,0
1276,True,Gambler,1
1277,False,House,0
1278,False,House,0
1279,True,Gambler,1
1280,True,Gambler,1
1281,True,Gambler,1
1282,False,House,0
1283,False,House,0
1284,True,Gambler,3
1285,True,Gambler,1
1286,True,Gambler,1
1287,True,Gambler,1
1288,False,House,0
1289,True,Gambler,1
1290,False,House,0
1291,True,Gambler,1
1292,False,House,0
1293,True,Gambler,1
1294,False,House,0
1295,True,Gambler,1
1296,True,Gambler,1
1297,False,House,0
1298,True,Gambler,2
1299,True,Gambler,1
1300,False,House,0
1301,False,House,0
1302,True,Gambler,2
1303,False,House,0
1304,True,Gambler,1
1305,True,Gambler,1
1306,False,House,0
1307,False,House,0
1308,False,House,0
1309,True,Gambler,1
1310,False,House,0
1311,True,Gambler,1
1312,False,House,0
1313,True,Gambler,1
1314,False,House,0
1315,True,Gambler,1
1316,False,House,0
1317,False,House,0
1318,False,House,0
1319,False,House,0
1320,True,Gambler,1
1321,True,Gambler,3
1322,True,Gambler,2
1323,False,House,0
1324,True,Gambler,2
1325,True,Gambler,1
1326,True,Gambler,1
1327,False,House,0
1328,True,Gambler,4
1329,True,Gambler,1
1330,False,House,0
1331,False,House,0
1332,True,Gambler,1
1333,True,Gambler,2
1334,False,House,0
1335,False,House,0
1336,False,House,0
1337,False,House,0
1338,False,House,0
1339,False,House,0
1340,True,Gambler,1
1341,False,House,0
1342,False,House,0
1343,False,House,0
1344,False,House,0
1345,False,House,0
1346,False,House,0
1347,True,Gambler,3
1348,True,Gambler,1
1349,True,Gambler,1
1350,True,Gambler,1
1351,True,Gambler,1
1352,False,House,0
1353,True,Gambler,1
1354,False,House,0
1355,False,House,0
1356,True,Gambler,1
1357,True,Gambler,1
1358,True,Gambler,1
1359,True,Gambler,2
1360,False,House,0
1361,False,House,0
1362,False,House,0
1363,True,Gambler,1
1364,True,Gambler,1
1365,False,House,0
1366,False,House,0
1367,False,House,0
1368,True,Gambler,1
1369,True,Gambler,1
1370,False,House,0
1371,False,House,0
1372,False,House,0
1373,False,House,0
1374,True,Gambler,1
1375,False,House,0
1376,False,House,0
1377,False,House,0
1378,False,House,0
1379,True,Gambler,1
1380,False,House,0
1381,True,Gambler,1
1382,True,Gambler,1
1383,False,House,0
1384,False,House,0
1385,True,Gambler,1
1386,False,House,0
1387,False,House,0
1388,True,Gambler,2
1389,True,Gambler,1
1390,True,Gambler,2
1391,True,Gambler,1
1392,True,Gambler,1
1393,True,Gambler,1
1394,True,Gambler,2
1395,False,House,0
1396,False,House,0
1397,True,Gambler,3
1398,True,Gambler,2
1399,False,House,0
1400,False,House,0
1401,False,House,0
1402,False,House,0
1403,True,Gambler,1
1404,False,House,0
1405,True,Gambler,1
1406,False,House,0
1407,True,Gambler,2
1408,False,House,0
1409,False,House,0
1410,True,Gambler,1
1411,False,House,0
1412,True,Gambler,2
1413,True,Gambler,1
1414,False,House,0
1415,False,House,0
1416,True,Gambler,1
1417,False,House,0
1418,False,House,0
1419,False,House,0
1420,True,Gambler,1
1421,True,Gambler,3
